Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
ACCIONA,"126,4000","-0,71","129,0000","125,5000",91.121,"11.601,81",01/07/2021,09:54:54
ACERINOX,"10,3500","1,62","10,3700","10,2000",184.058,"1.896,92",01/07/2021,09:55:36
ACS,"22,9000","1,37","22,9700","22,6700",91.660,"2.093,85",01/07/2021,09:55:24
AENA,"139,8000","1,08","141,2000","138,4500",21.661,"3.013,25",01/07/2021,09:55:18
ALMIRALL,"14,7800","0,48","14,8800","14,7200",24.813,"367,31",01/07/2021,09:53:52
AMADEUS,"60,0800","1,28","61,3400","59,7000",349.081,"21.273,83",01/07/2021,09:55:44
ARCELORMIT.,"26,4900","2,28","26,5850","26,1850",124.680,"3.296,18",01/07/2021,09:55:16
B.SANTANDER,"3,2940","2,31","3,3090","3,2390",3.829.290,"12.557,90",01/07/2021,09:55:36
BA.SABADELL,"0,5874","2,30","0,5896","0,5760",2.727.585,"1.594,45",01/07/2021,09:55:31
BANKINTER,"4,2930","1,27","4,3200","4,2660",130.306,"559,52",01/07/2021,09:55:30
BBVA,"5,3460","2,26","5,3650","5,2840",1.561.241,"8.332,55",01/07/2021,09:55:35
CAIXABANK,"2,6290","1,35","2,6350","2,6100",671.064,"1.759,53",01/07/2021,09:54:44
CELLNEX,"53,5600","-0,30","54,2600","53,2800",106.433,"5.727,03",01/07/2021,09:55:27
CIE AUTOMOT.,"25,1000","0,56","25,2000","24,9600",25.992,"651,27",01/07/2021,09:54:44
ENAGAS,"19,5600","0,38","19,6300","19,5150",75.564,"1.477,62",01/07/2021,09:55:19
ENDESA,"20,6300","0,83","20,7800","20,5200",200.118,"4.126,49",01/07/2021,09:55:21
FERROVIAL,"25,2000","1,82","25,2500","24,9000",139.800,"3.504,26",01/07/2021,09:54:27
FLUIDRA,"34,1000","1,94","34,1500","33,5000",57.800,"1.964,04",01/07/2021,09:52:32
GRIFOLS CL.A,"22,7800","-0,26","22,9600","22,7700",59.313,"1.353,65",01/07/2021,09:52:40
IAG,"2,0970","3,61","2,1160","2,0310",5.090.782,"10.605,49",01/07/2021,09:55:29
IBERDROLA,"10,4050","1,22","10,4500","10,3150",1.241.239,"12.913,58",01/07/2021,09:55:18
INDITEX,"29,7800","0,24","30,0500","29,7700",268.480,"8.020,64",01/07/2021,09:55:21
INDRA A,"7,7600","0,84","7,8400","7,7100",136.017,"1.059,77",01/07/2021,09:53:47
INM.COLONIAL,"8,6150","1,17","8,6200","8,5450",23.980,"206,32",01/07/2021,09:53:54
MAPFRE,"1,7960","0,76","1,8000","1,7855",256.300,"459,74",01/07/2021,09:55:44
MELIA HOTELS,"6,4060","2,66","6,4400","6,3000",223.362,"1.423,42",01/07/2021,09:55:36
MERLIN,"8,8400","1,19","8,8700","8,7520",25.303,"222,81",01/07/2021,09:53:51
NATURGY,"21,8100","0,60","21,8700","21,7700",19.245,"419,80",01/07/2021,09:55:20
PHARMA MAR,"74,6400","-1,61","77,3800","74,6000",31.606,"2.387,97",01/07/2021,09:55:37
R.E.C.,"15,6500","-0,03","15,7550","15,6500",140.056,"2.197,71",01/07/2021,09:55:14
REPSOL,"10,7300","1,67","10,7620","10,6260",270.946,"2.900,55",01/07/2021,09:55:01
SIEMENS GAME,"27,4200","-2,63","28,1600","27,4200",206.393,"5.759,59",01/07/2021,09:55:35
SOLARIA,"15,1050","-0,89","15,4600","15,0700",142.665,"2.183,46",01/07/2021,09:55:23
TELEFONICA,"3,9710","0,76","3,9725","3,9325",740.203,"2.927,10",01/07/2021,09:55:37
VISCOFAN,"58,9000","0,17","59,1000","58,8500",1.890,"111,41",01/07/2021,09:54:58
