Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
ACCIONA,"127,3000","-0,47","128,0000","126,8000",2.182,"277,88",30/06/2021,09:41:23
ACERINOX,"10,1650","-0,39","10,3000","10,1550",187.141,"1.916,05",30/06/2021,09:41:50
ACS,"22,4400","-0,53","22,5800","22,4000",41.321,"928,81",30/06/2021,09:41:30
AENA,"138,1000","-0,47","141,0000","137,3000",8.882,"1.228,91",30/06/2021,09:41:49
ALMIRALL,"14,8200","-0,20","14,9700","14,8100",9.151,"136,26",30/06/2021,09:41:00
AMADEUS,"59,4000","0,71","59,4000","58,7000",73.017,"4.309,63",30/06/2021,09:41:43
ARCELORMIT.,"26,0150","-1,50","26,3750","25,9800",47.104,"1.231,00",30/06/2021,09:41:24
B.SANTANDER,"3,2470","-0,82","3,2650","3,2385",1.610.336,"5.234,88",30/06/2021,09:41:39
BA.SABADELL,"0,5716","-0,45","0,5774","0,5680",2.281.789,"1.306,63",30/06/2021,09:40:39
BANKINTER,"4,2420","-0,40","4,2750","4,2260",65.854,"279,44",30/06/2021,09:41:34
BBVA,"5,2480","-0,83","5,2870","5,2340",819.872,"4.305,58",30/06/2021,09:41:22
CAIXABANK,"2,5950","-0,42","2,6160","2,5900",499.370,"1.297,68",30/06/2021,09:41:10
CELLNEX,"54,6200","-0,11","55,0000","54,5400",38.790,"2.125,19",30/06/2021,09:41:10
CIE AUTOMOT.,"25,6000","0,00","25,7000","25,4800",31.419,"804,08",30/06/2021,09:40:28
ENAGAS,"19,4500","-0,84","19,6600","19,4400",128.371,"2.510,31",30/06/2021,09:41:44
ENDESA,"20,6500","-1,29","20,8800","20,6000",87.970,"1.821,19",30/06/2021,09:41:37
FERROVIAL,"24,9400","-0,08","25,1000","24,8100",59.629,"1.486,14",30/06/2021,09:41:45
FLUIDRA,"33,8500","0,59","34,1000","33,6500",32.357,"1.099,08",30/06/2021,09:41:24
GRIFOLS CL.A,"22,8300","0,62","23,4200","22,5300",168.940,"3.905,97",30/06/2021,09:41:14
IAG,"1,9940","-1,68","2,0360","1,9655",5.918.939,"11.806,95",30/06/2021,09:41:49
IBERDROLA,"10,3400","-1,10","10,4200","10,3200",848.019,"8.793,23",30/06/2021,09:41:23
INDITEX,"29,6700","-0,97","30,0400","29,6200",219.215,"6.528,62",30/06/2021,09:41:46
INDRA A,"7,6250","-0,91","7,6900","7,6200",30.338,"232,17",30/06/2021,09:40:14
INM.COLONIAL,"8,5500","-0,23","8,5950","8,5250",19.692,"168,30",30/06/2021,09:39:38
MAPFRE,"1,7675","-0,20","1,7770","1,7645",275.200,"486,99",30/06/2021,09:41:03
MELIA HOTELS,"6,1180","-0,39","6,1680","6,0520",153.794,"939,07",30/06/2021,09:41:11
MERLIN,"8,8020","0,02","8,9160","8,7440",33.033,"291,28",30/06/2021,09:36:26
NATURGY,"21,7700","-0,73","21,9100","21,7600",17.765,"387,77",30/06/2021,09:41:13
PHARMA MAR,"80,3200","-0,82","81,3600","80,2000",11.058,"892,20",30/06/2021,09:41:48
R.E.C.,"15,5700","-0,70","15,7100","15,5550",134.314,"2.097,54",30/06/2021,09:41:22
REPSOL,"10,6700","-0,13","10,7520","10,6100",164.672,"1.755,40",30/06/2021,09:41:10
SIEMENS GAME,"27,9400","-2,99","28,7500","27,9400",113.294,"3.210,06",30/06/2021,09:41:52
SOLARIA,"15,8700","-2,76","16,4600","15,8500",181.944,"2.951,12",30/06/2021,09:41:46
TELEFONICA,"3,9040","-0,17","3,9140","3,8600",789.523,"3.069,18",30/06/2021,09:41:37
VISCOFAN,"58,7000","0,00","59,4500","58,7000",8.287,"489,83",30/06/2021,09:40:13
