,id_flights,Month,DayofMonth,DayOfWeek,DepTime,ArrTime,UniqueCarrier,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,weekend
0,965981,6,8,7,1920.0,102.0,15,222.0,230.0,202.0,3.0,11.0,80,37,1754,1
1,572804,4,4,5,1653.0,1834.0,17,101.0,60.0,52.0,124.0,83.0,76,130,239,0
2,575159,4,6,7,2111.0,2344.0,17,273.0,275.0,260.0,149.0,151.0,35,157,1797,1
3,12129,1,13,7,1118.0,1216.0,17,58.0,60.0,45.0,11.0,13.0,264,47,296,1
4,477533,3,1,6,625.0,930.0,7,125.0,127.0,111.0,23.0,25.0,137,18,781,1
5,1907542,12,2,2,1924.0,2158.0,4,154.0,176.0,131.0,7.0,29.0,104,150,1069,0
6,191927,2,8,5,1933.0,2030.0,17,57.0,55.0,46.0,20.0,18.0,285,104,197,0
7,1581954,10,10,5,1345.0,1443.0,9,118.0,113.0,97.0,21.0,16.0,104,116,620,0
8,32943,1,8,2,1631.0,1838.0,18,127.0,88.0,87.0,120.0,81.0,157,258,337,0
9,1184087,7,1,2,1507.0,1846.0,9,219.0,157.0,105.0,76.0,14.0,18,162,761,0
10,1910072,12,20,6,1104.0,1411.0,4,187.0,97.0,79.0,174.0,84.0,37,46,396,1
11,950723,6,26,4,1626.0,1716.0,14,110.0,122.0,95.0,6.0,18.0,18,286,674,0
12,934213,6,29,7,2040.0,2125.0,19,45.0,40.0,30.0,15.0,10.0,152,129,163,1
13,310021,2,15,5,854.0,939.0,11,45.0,45.0,31.0,14.0,14.0,210,197,109,0
14,508538,3,8,6,913.0,1101.0,11,108.0,75.0,33.0,96.0,63.0,150,37,187,1
15,355656,2,13,3,1830.0,2154.0,4,384.0,380.0,354.0,114.0,110.0,150,47,2465,0
16,28717,1,30,3,1752.0,1900.0,17,68.0,85.0,49.0,5.0,22.0,219,185,290,0
17,1191982,7,30,3,1128.0,1258.0,9,150.0,160.0,136.0,8.0,18.0,274,179,1035,0
18,1760157,12,27,6,1658.0,1857.0,17,59.0,65.0,48.0,197.0,203.0,179,256,271,1
19,397409,3,22,6,1321.0,1618.0,17,117.0,135.0,108.0,-12.0,6.0,2,274,934,1
20,634887,4,21,1,901.0,1016.0,15,75.0,79.0,59.0,12.0,16.0,47,258,326,0
21,54646,1,6,7,1807.0,2020.0,14,73.0,75.0,55.0,84.0,86.0,80,137,419,1
22,1366745,8,15,5,1044.0,1204.0,11,80.0,50.0,62.0,109.0,79.0,1,81,158,0
23,131414,1,31,4,2207.0,2223.0,12,76.0,78.0,55.0,160.0,162.0,87,117,288,0
24,921676,6,5,4,1656.0,1950.0,18,114.0,112.0,91.0,63.0,61.0,136,282,658,0
25,202671,2,17,7,2151.0,2327.0,17,96.0,105.0,84.0,22.0,31.0,264,216,569,1
26,266028,2,15,5,1625.0,1957.0,15,332.0,341.0,309.0,42.0,51.0,266,210,2072,0
27,1119385,7,8,2,1354.0,1606.0,19,192.0,199.0,179.0,63.0,70.0,135,20,1297,0
28,235884,2,12,2,755.0,1038.0,13,163.0,148.0,119.0,28.0,13.0,37,64,640,0
29,873361,5,11,7,743.0,1036.0,5,173.0,158.0,131.0,28.0,13.0,136,210,925,1
30,1813338,12,15,1,1048.0,1651.0,15,243.0,225.0,190.0,31.0,13.0,80,186,1709,0
31,1379432,8,2,6,1105.0,1230.0,0,85.0,95.0,63.0,130.0,140.0,181,175,392,1
32,675206,4,4,5,1756.0,1917.0,11,81.0,75.0,61.0,57.0,51.0,257,237,416,0
